Embryo,Stage,mtX,mtY,mtZ
1,9.5,Stromal_cells,1.05663876,0.95235219,1.32661144
1,9.5,Neural_Tube,1.50259402,0.87928737,0.57042601
1,9.5,Early_mesenchyme,0.96618093,1.14634064,1.44731257
1,9.5,Neural_Tube,1.61944825,0.92659729,0.65886042
1,9.5,Oligodendrocyte_Progenitors,NA,NA,NA
1,9.5,Neural_Tube,1.54166719,0.87411478,0.51889554
1,9.5,Endothelial_cells,0.17512669,1.35083567,1.23831776
1,9.5,Sensory_neurons,0.93617991,0.68835727,0.41418319
1,9.5,Early_mesenchyme,1.31934143,0.88442937,1.24211616
1,9.5,Neural_Tube,1.76110038,0.87941248,0.64705616
1,9.5,Chondroctye_progenitors,1.19466615,0.78748820,0.82419532
1,9.5,Neural_Tube,1.57013779,0.76714358,0.58807821
1,9.5,Schwann_cell_precursor,2.57066003,2.67914894,3.02947727
1,9.5,Stromal_cells,1.03786798,0.84857950,1.21611875
1,9.5,Oligodendrocyte_Progenitors,1.64411612,1.52354068,1.31567792
1,9.5,Epithelial_cells,1.08509152,1.00154339,1.06474099
1,9.5,Neural_progenitor_cells,1.25056145,0.85645638,0.64905917
1,9.5,Notochord_cells,NA,NA,NA
1,9.5,Oligodendrocyte_Progenitors,1.70677270,1.61938995,1.36287557
1,9.5,Endothelial_cells,1.49905978,1.21968297,1.33115641
1,9.5,Melanocytes,0.32911475,1.15087255,0.66653464
1,9.5,Jaw_and_tooth_progenitors,1.24374394,0.91236434,1.04086400
1,9.5,Neural_progenitor_cells,1.17164897,0.82542677,0.67155310
1,9.5,Epithelial_cells,1.11739069,1.03201265,0.95018948
1,9.5,Radial_glia,1.81391061,1.03121527,0.67657222
1,9.5,Early_mesenchyme,1.30952351,0.89853905,1.26029206
1,9.5,NA,NA,NA,NA
1,9.5,Osteoblasts,0.95901768,1.00092107,1.40767160
1,9.5,Neural_Tube,1.72978560,1.15991833,0.78483433
1,9.5,Intermediate_Mesoderm,NA,NA,NA
1,9.5,Early_mesenchyme,NA,NA,NA
1,9.5,Intermediate_Mesoderm,1.05243489,1.22497192,1.65463625
1,9.5,Intermediate_Mesoderm,1.31235015,1.30665878,1.88520496
1,9.5,Epithelial_cells,0.88657536,1.17163350,1.85852489
1,9.5,Neural_progenitor_cells,1.15447385,0.78097397,0.75519461
1,9.5,Primitive_erythroid_lineage,NA,NA,NA
1,9.5,Intermediate_Mesoderm,1.29211449,1.32702797,1.76254747
1,9.5,Intermediate_Mesoderm,1.08790292,1.21205162,1.69884245
1,9.5,Cholinergic_neurons,0.40811530,0.72365341,1.19079495
1,9.5,Early_mesenchyme,1.26334533,0.80525332,1.02514386
1,9.5,Epithelial_cells,2.00365073,1.17327743,1.11457061
1,9.5,Neural_Tube,NA,NA,NA
1,9.5,Intermediate_Mesoderm,0.96915551,1.18729155,1.69677392
1,9.5,Early_mesenchyme,NA,NA,NA
1,9.5,Neural_Tube,1.62319066,0.79580753,0.52020801
1,9.5,Early_mesenchyme,0.97164582,1.16413334,1.43427990
1,9.5,Neural_Tube,1.70706138,0.82466264,0.68147274
1,9.5,Stromal_cells,NA,NA,NA
1,9.5,Chondroctye_progenitors,1.23253460,0.82323935,1.00463941
1,9.5,Epithelial_cells,1.13767495,1.23322054,0.98166560
1,9.5,Early_mesenchyme,1.40132850,0.80739160,1.09375229
1,9.5,Epithelial_cells,1.11674085,0.81683746,0.99551920
1,9.5,Early_mesenchyme,NA,NA,NA
1,9.5,Isthmic_organizer_cells,1.71837299,1.24807734,0.95381702
1,9.5,Neural_Tube,1.41922008,0.85841123,0.63882989
1,9.5,Neural_progenitor_cells,1.12604213,0.83412443,0.68609556
1,9.5,Primitive_erythroid_lineage,2.62429758,1.48420070,1.56407817
1,9.5,Neural_Tube,1.45604651,0.94032605,0.63579853
1,9.5,Endothelial_cells,1.49474954,1.14908208,1.46172084
1,9.5,Neural_Tube,1.48376639,0.87164791,0.64882025
1,9.5,Early_mesenchyme,1.01503320,0.77944381,1.09064884
1,9.5,Early_mesenchyme,0.70773007,0.60392110,1.26536722
1,9.5,Neural_Tube,NA,NA,NA
1,9.5,Cardiac_muscle_lineages,0.82434131,0.88638475,1.59963152
1,9.5,Intermediate_Mesoderm,1.10367075,1.43224326,1.85643668
1,9.5,Neural_Tube,1.60124855,0.80799514,0.51624732
1,9.5,Early_mesenchyme,0.72696313,0.63441791,1.26549740
1,9.5,Neural_Tube,1.54904670,0.84156846,0.50008458
1,9.5,Stromal_cells,1.05665690,0.90567623,1.28478783
1,9.5,Definitive_erythroid_lineage,NA,NA,NA
1,9.5,NA,NA,NA,NA
1,9.5,Early_mesenchyme,0.77375741,0.59640342,1.22311057
1,9.5,Definitive_erythroid_lineage,NA,NA,NA
1,9.5,Early_mesenchyme,NA,NA,NA
1,9.5,Epithelial_cells,1.11454290,1.31191570,1.05417480
1,9.5,Definitive_erythroid_lineage,NA,NA,NA
1,9.5,Neural_progenitor_cells,0.79729414,1.12542786,0.87340317
1,9.5,Schwann_cell_precursor,NA,NA,NA
1,9.5,Early_mesenchyme,1.32438278,0.87613253,1.20951576
1,9.5,Neural_progenitor_cells,1.56011550,0.67330753,0.60289117
1,9.5,Neural_Tube,1.57204224,0.75920161,0.58948505
1,9.5,Neural_Tube,1.60865918,1.18733075,0.91425798
1,9.5,Endothelial_cells,1.14543951,1.46133083,0.79374176
1,9.5,Cholinergic_neurons,0.68366652,1.02542021,0.23259458
1,9.5,Neural_Tube,NA,NA,NA
1,9.5,Definitive_erythroid_lineage,NA,NA,NA
1,9.5,Stromal_cells,1.01522319,0.83766379,1.15210883
1,9.5,Intermediate_Mesoderm,1.15185178,1.24596625,1.80450807
1,9.5,Oligodendrocyte_Progenitors,1.56153733,1.52756479,1.45768314
1,9.5,Intermediate_Mesoderm,1.34568727,1.20458223,1.78607116
1,9.5,Definitive_erythroid_lineage,NA,NA,NA
1,9.5,Early_mesenchyme,1.05658920,1.19431211,1.52540120
1,9.5,Early_mesenchyme,1.30685904,0.86286214,1.23567754
1,9.5,Neural_Tube,1.55489952,0.87143218,0.44800637
1,9.5,Epithelial_cells,NA,NA,NA
1,9.5,Radial_glia,1.62119753,0.85002316,0.41985229
1,9.5,Early_mesenchyme,1.42268820,0.83028786,1.06405939
1,9.5,Early_mesenchyme,0.75900382,0.63724665,1.29583761
1,9.5,Neural_Tube,1.44125597,0.84117660,0.63016952
1,9.5,Jaw_and_tooth_progenitors,NA,NA,NA
1,9.5,Chondroctye_progenitors,1.19005238,0.75843329,0.86040995
1,9.5,Definitive_erythroid_lineage,NA,NA,NA
1,9.5,Intermediate_Mesoderm,1.08877499,1.29540413,1.74999836
1,9.5,Early_mesenchyme,1.03719134,0.77748178,1.04324292
1,9.5,Radial_glia,1.85257519,0.80876930,0.51126153
1,9.5,Neural_Tube,1.51097965,0.88751294,0.61770583
1,9.5,Early_mesenchyme,0.72282677,0.58906132,1.21556497
1,9.5,Early_mesenchyme,0.96232217,1.17820506,1.36020606
1,9.5,Neural_Tube,1.45592592,0.88063121,0.63717728
1,9.5,Primitive_erythroid_lineage,2.48634711,1.37988449,1.70332913
1,9.5,Endothelial_cells,1.49773282,1.17763749,1.42510266
1,9.5,Early_mesenchyme,0.92209801,0.68572536,1.33382228
1,9.5,Oligodendrocyte_Progenitors,1.56979600,1.52154919,1.40783742
1,9.5,Neural_Tube,1.47980517,0.88710702,0.62471142
1,9.5,Schwann_cell_precursor,2.54840206,2.25774118,2.67424837
1,9.5,Early_mesenchyme,1.04031637,1.01741022,1.38824407
1,9.5,Early_mesenchyme,0.75341023,0.54933961,1.25855121
1,9.5,Epithelial_cells,1.11444903,0.68010796,0.96230957
1,9.5,Intermediate_Mesoderm,1.27558441,1.34539048,1.81459859
1,9.5,Neural_progenitor_cells,NA,NA,NA
1,9.5,Intermediate_Mesoderm,1.26487945,1.36456540,1.83873755
1,9.5,Oligodendrocyte_Progenitors,1.57059602,1.49559790,1.49770474
1,9.5,Cardiac_muscle_lineages,0.78856809,0.96497331,1.61288487
1,9.5,Stromal_cells,1.21462940,0.84307411,1.18066405
1,9.5,Epithelial_cells,1.01450080,0.96322282,1.14440954
1,9.5,Intermediate_Mesoderm,1.09703253,1.35602737,1.85493119
1,9.5,Early_mesenchyme,1.30274345,0.86182069,1.20878317
1,9.5,Early_mesenchyme,1.03214779,0.83486198,1.16439777
1,9.5,Early_mesenchyme,1.22957543,0.84241785,1.02287824
1,9.5,Notochord_cells,1.52512119,1.21842307,0.91082358
1,9.5,Radial_glia,NA,NA,NA
1,9.5,Intermediate_Mesoderm,1.06572631,1.36061520,1.83464485
1,9.5,Chondroctye_progenitors,1.40789184,0.82566814,1.02730696
1,9.5,Epithelial_cells,1.09939478,0.10724385,1.20974024
1,9.5,Epithelial_cells,1.11854728,1.17751959,1.02631343
1,9.5,Neural_Tube,NA,NA,NA
1,9.5,Oligodendrocyte_Progenitors,1.59311903,1.50172338,1.45391916
1,9.5,Neural_Tube,1.53958215,0.88333280,0.65713402
1,9.5,Notochord_cells,1.38086227,1.18989393,0.67737928
1,9.5,Endothelial_cells,1.52669952,1.11920531,1.27376927
1,9.5,Neural_Tube,NA,NA,NA
1,9.5,Oligodendrocyte_Progenitors,1.56494965,1.40359857,1.22978174
1,9.5,Cardiac_muscle_lineages,1.44026525,1.35615661,2.14832125
1,9.5,Epithelial_cells,NA,NA,NA
1,9.5,Neural_progenitor_cells,NA,NA,NA
1,9.5,Osteoblasts,0.93967149,1.02070711,1.41032716
1,9.5,Epithelial_cells,1.11387628,0.89602396,1.00860508
1,9.5,Early_mesenchyme,1.34758507,0.94754477,1.28684883
1,9.5,Jaw_and_tooth_progenitors,1.21540035,0.83142260,1.10114554
1,9.5,Early_mesenchyme,0.89703691,0.66519461,1.26631980
1,9.5,Early_mesenchyme,0.76759112,0.60158901,1.26503762
1,9.5,Stromal_cells,1.08540412,0.91285838,1.33296825
1,9.5,Stromal_cells,1.00603174,0.98382128,1.35522181
1,9.5,Isthmic_organizer_cells,1.71724484,1.65136641,1.34592179
1,9.5,Endothelial_cells,1.46096179,1.15727077,1.47256887
1,9.5,Early_mesenchyme,0.92577436,0.68150387,1.35065660
1,9.5,Epithelial_cells,1.02470249,0.97039860,1.08790252
1,9.5,Primitive_erythroid_lineage,2.70402888,1.55056792,1.52472404
1,9.5,Epithelial_cells,1.11093978,0.12039880,1.22595752
1,9.5,Neural_Tube,1.59761478,0.87283770,0.58367820
1,9.5,Early_mesenchyme,0.92054392,0.68679259,1.32305354
1,9.5,Sensory_neurons,1.10619439,2.02247512,0.33316654
1,9.5,Epithelial_cells,0.86076750,1.31511177,1.73937300
1,9.5,Isthmic_organizer_cells,1.74892845,1.23062825,0.99867408
1,9.5,Neural_Tube,1.53546367,0.98567175,0.71453152
1,9.5,Primitive_erythroid_lineage,2.42536892,1.43848539,1.68149151
1,9.5,Notochord_cells,1.37841771,1.21013756,0.67203280
1,9.5,Stromal_cells,NA,NA,NA
1,9.5,Neural_Tube,1.58225078,0.91788163,0.72376286
1,9.5,Epithelial_cells,1.17997777,0.94052297,1.18837526
1,9.5,Chondroctye_progenitors,1.18958152,0.89953851,0.98329395
1,9.5,Epithelial_cells,0.85286893,1.31926532,1.74418502
1,9.5,Epithelial_cells,NA,NA,NA
1,9.5,Stromal_cells,1.01246152,0.87861302,1.19485764
1,9.5,Isthmic_organizer_cells,NA,NA,NA
1,9.5,Early_mesenchyme,1.44432440,0.83725496,1.08260367
1,9.5,Megakaryocytes,NA,NA,NA
1,9.5,Isthmic_organizer_cells,1.66320912,1.53851173,1.47792037
1,9.5,Early_mesenchyme,NA,NA,NA
1,9.5,Endothelial_cells,NA,NA,NA
1,9.5,Neural_Tube,1.61581125,0.84726963,0.63956395
1,9.5,Neural_progenitor_cells,1.21571683,0.81569271,0.68445639
1,9.5,Intermediate_Mesoderm,1.26400264,1.24194570,1.91037408
1,9.5,Chondroctye_progenitors,1.06065095,0.78335361,0.92594692
1,9.5,Early_mesenchyme,0.84816517,0.62933590,1.26386953
1,9.5,Epithelial_cells,1.15722551,1.24919672,0.93581955
1,9.5,Intermediate_Mesoderm,1.07836486,1.33788583,1.83610210
1,9.5,Isthmic_organizer_cells,1.72215016,1.23188752,0.92926657
1,9.5,Intermediate_Mesoderm,1.29972093,1.20830660,1.73586704
1,9.5,Radial_glia,1.64560646,0.74626123,0.52428436
1,9.5,Intermediate_Mesoderm,NA,NA,NA
1,9.5,Chondroctye_progenitors,1.19545138,0.83397129,0.98060862
1,9.5,Excitatory_neurons,NA,NA,NA
1,9.5,Intermediate_Mesoderm,1.09192752,1.24442890,1.71332482
1,9.5,Early_mesenchyme,1.30766077,0.88831186,1.26521721
1,9.5,Stromal_cells,0.75890371,0.54930297,1.26194364
1,9.5,Isthmic_organizer_cells,1.81019228,1.30533316,1.00781165
1,9.5,Neural_Tube,1.77498317,1.11370038,0.72878084
1,9.5,Postmitotic_premature_neurons,0.58661013,0.79430658,0.87573004
1,9.5,Early_mesenchyme,0.84237943,0.64306855,1.24688572
1,9.5,Intermediate_Mesoderm,1.24887575,1.22655649,1.83335873
1,9.5,Myocytes,0.01638247,1.38434609,1.09644985
1,9.5,Early_mesenchyme,1.31634415,0.84429786,1.20405978
1,9.5,Early_mesenchyme,NA,NA,NA
1,9.5,Oligodendrocyte_Progenitors,NA,NA,NA
1,9.5,Primitive_erythroid_lineage,2.69866324,1.54942841,1.55408210
1,9.5,Cardiac_muscle_lineages,0.82149850,0.88608463,1.60542289
1,9.5,Early_mesenchyme,1.05183362,0.84279049,1.21104918
1,9.5,Oligodendrocyte_Progenitors,1.68638542,1.22321913,0.92313688
1,9.5,Primitive_erythroid_lineage,2.31731889,1.39473381,1.77483508
1,9.5,Oligodendrocyte_Progenitors,1.58401723,1.41742542,1.33233501
1,9.5,Endothelial_cells,NA,NA,NA
1,9.5,Endothelial_cells,1.56019470,1.28278092,1.20906750
1,9.5,Chondroctye_progenitors,1.21456062,0.80153428,0.90487514
1,9.5,Cardiac_muscle_lineages,1.44588354,1.36226732,2.15730656
1,9.5,Neural_Tube,1.72205152,0.85941967,0.56946213
1,9.5,Neural_Tube,1.62927889,0.75277336,0.50445408
1,9.5,Intermediate_Mesoderm,NA,NA,NA
1,9.5,Intermediate_Mesoderm,1.08558359,1.32713007,1.78208531
1,9.5,Neural_progenitor_cells,1.14481984,0.75545281,0.72828006
1,9.5,Neural_Tube,1.48618451,0.90928380,0.55254845
1,9.5,Early_mesenchyme,NA,NA,NA
1,9.5,Endothelial_cells,1.45566452,1.10663227,1.24842002
1,9.5,Ependymal_cell,1.77992444,1.66487434,1.24674561
1,9.5,Early_mesenchyme,0.79240725,0.60385687,1.26360293
1,9.5,Intermediate_Mesoderm,NA,NA,NA
1,9.5,Oligodendrocyte_Progenitors,1.63272704,1.43952671,1.40839209
1,9.5,Neural_Tube,1.51301960,0.89056849,0.60351987
1,9.5,Neural_Tube,1.60971464,0.83612729,0.54814021
1,9.5,Early_mesenchyme,0.97383640,0.76754944,1.17284025
1,9.5,Sensory_neurons,0.81546486,1.10104796,0.55278959
1,9.5,Epithelial_cells,1.15110685,0.93100839,1.23134715
1,9.5,Epithelial_cells,1.16775569,0.90314003,1.23989090
1,9.5,Early_mesenchyme,1.29201369,0.84894067,1.22408960
1,9.5,Radial_glia,1.84783996,1.08576634,0.68544616
1,9.5,Definitive_erythroid_lineage,NA,NA,NA
1,9.5,Oligodendrocyte_Progenitors,1.57097310,1.58278916,1.63688528
1,9.5,Neural_progenitor_cells,0.81041311,0.70037167,0.66546027
1,9.5,Oligodendrocyte_Progenitors,1.62058962,1.28567009,1.16096596
1,9.5,Isthmic_organizer_cells,1.58136522,1.62123068,1.55733377
1,9.5,Radial_glia,1.73558857,0.70563170,0.49705580
1,9.5,Neural_Tube,1.52906323,0.92526739,0.56277226
1,9.5,Isthmic_organizer_cells,1.76676795,1.66365890,0.72801059
1,9.5,Isthmic_organizer_cells,1.78341977,1.50976574,1.10712121
1,9.5,Notochord_cells,1.43732613,1.02605362,0.74307280
1,9.5,Chondroctye_progenitors,1.24111033,0.80795961,0.93551836
1,9.5,Myocytes,0.69034058,0.52143112,1.24626880
1,9.5,Early_mesenchyme,1.01504916,1.08852720,1.56226889
1,9.5,Neural_Tube,1.59846660,0.91936361,0.71421820
1,9.5,NA,NA,NA,NA
1,9.5,Epithelial_cells,1.07023656,0.95167026,1.09986986
1,9.5,Intermediate_Mesoderm,1.10414305,1.25341785,1.75579922
1,9.5,Epithelial_cells,1.99125944,1.18989785,1.13411247
1,9.5,Isthmic_organizer_cells,1.73905981,1.36832552,1.07449779
1,9.5,Oligodendrocyte_Progenitors,1.57886820,1.40396538,1.31180236
1,9.5,Endothelial_cells,1.22281510,1.07312590,1.00759597
1,9.5,Primitive_erythroid_lineage,2.26270420,1.53786150,1.80630453
1,9.5,Neural_progenitor_cells,1.04424593,0.82766764,0.76004245
1,9.5,Stromal_cells,NA,NA,NA
1,9.5,Neural_Tube,1.34478979,0.83230830,0.71957930
1,9.5,Epithelial_cells,1.09811070,0.92171375,1.26982593
1,9.5,Isthmic_organizer_cells,1.75541568,1.13103464,0.75829094
1,9.5,Early_mesenchyme,1.42693716,0.98910813,1.27164011
1,9.5,Schwann_cell_precursor,2.38261429,2.41241375,2.90320930
1,9.5,Chondroctye_progenitors,1.19381901,0.75866024,0.86025916
1,9.5,Early_mesenchyme,0.95780460,1.16100146,1.42673497
1,9.5,Early_mesenchyme,0.88895167,0.68334425,1.26579688
1,9.5,Intermediate_Mesoderm,1.09800887,1.35155693,1.83866866
1,9.5,Early_mesenchyme,0.87422681,0.66566755,1.24394673
1,9.5,Intermediate_Mesoderm,1.24834108,1.22953625,1.66320768
1,9.5,Oligodendrocyte_Progenitors,1.56420930,1.38202103,1.38123883
1,9.5,Neural_Tube,1.57783345,0.74857502,0.55117743
1,9.5,Early_mesenchyme,0.78827153,1.19372483,1.31124436
1,9.5,Radial_glia,NA,NA,NA
1,9.5,Definitive_erythroid_lineage,NA,NA,NA
1,9.5,Early_mesenchyme,0.90618165,0.67105847,1.30834995
1,9.5,Intermediate_Mesoderm,1.29666507,0.85111159,1.21215981
1,9.5,Epithelial_cells,1.12067432,1.18160205,0.99443595
1,9.5,Early_mesenchyme,0.88089291,0.65004923,1.27025686
1,9.5,Sensory_neurons,0.93454295,0.71090314,0.38735389
1,9.5,Early_mesenchyme,1.06059798,1.12055505,1.56095552
1,9.5,Notochord_cells,1.33621531,1.31831867,0.62188052
1,9.5,Early_mesenchyme,0.79647159,0.59998826,1.26275709
1,9.5,Epithelial_cells,1.14438167,0.12677262,1.22312287
1,9.5,Stromal_cells,NA,NA,NA
1,9.5,Epithelial_cells,1.11196202,0.75530616,0.97323590
1,9.5,Early_mesenchyme,0.90793474,1.16839480,1.38862730
1,9.5,Epithelial_cells,1.10221373,1.37317006,1.08794328
1,9.5,Melanocytes,0.32758778,1.13730978,0.69089101
1,9.5,Epithelial_cells,0.86585041,1.29558676,1.73960679
1,9.5,Primitive_erythroid_lineage,2.32104657,1.40827588,1.73308527
1,9.5,Intermediate_Mesoderm,1.30830065,1.32474127,1.89559734
1,9.5,Radial_glia,1.75865312,0.80294104,0.57258931
1,9.5,Intermediate_Mesoderm,1.21712181,1.20030967,1.73006351
1,9.5,Isthmic_organizer_cells,1.88334576,1.11797462,0.69922812
1,9.5,Jaw_and_tooth_progenitors,1.24659890,0.83637082,1.01460393
1,9.5,Jaw_and_tooth_progenitors,1.24612583,0.85802540,1.10018187
1,9.5,Intermediate_Mesoderm,1.06073742,1.23542152,1.69541831
1,9.5,Intermediate_Mesoderm,1.08637471,1.18992690,1.60615113
1,9.5,Endothelial_cells,1.49774400,1.11763991,1.28232257
1,9.5,Neural_Tube,1.46925174,1.01880847,0.72609354
1,9.5,Intermediate_Mesoderm,1.34205326,1.20777057,1.78041329
1,9.5,Notochord_cells,1.33828881,1.17193734,0.93843611
1,9.5,Epithelial_cells,0.90207577,1.16328540,1.84447124
1,9.5,Isthmic_organizer_cells,1.80157931,1.09518937,0.72997489
1,9.5,Intermediate_Mesoderm,NA,NA,NA
1,9.5,Oligodendrocyte_Progenitors,1.57761765,1.51404748,1.38326481
1,9.5,Neural_Tube,1.62877467,0.86242314,0.59877924
1,9.5,Early_mesenchyme,1.02133861,1.11966989,1.54191449
