embryoId,stage,cellType,mtX,mtY,mtZ
68,13.5,Excitatory_neurons,0.17707853,1.24063450,1.21606516
68,13.5,Chondroctye_progenitors,1.14134764,0.74083808,0.64268947
68,13.5,Connective_tissue_progenitors,1.34350532,1.63725775,1.15461461
68,13.5,Epithelial_cells,0.87602664,1.11510293,0.75628025
68,13.5,Chondroctye_progenitors,1.14709799,0.71427160,0.74181966
68,13.5,Limb_mesenchyme,0.69818888,1.29903075,1.04547936
68,13.5,Epithelial_cells,1.28152240,0.51846351,0.76276483
68,13.5,Jaw_and_tooth_progenitors,1.24017783,1.34544358,1.34327939
68,13.5,Excitatory_neurons,0.30049651,1.09757750,1.07289580
68,13.5,Chondroctye_progenitors,1.14046822,0.73610054,0.68836053
68,13.5,Intermediate_Mesoderm,1.26979963,1.36589077,1.48196517
68,13.5,Connective_tissue_progenitors,1.28680645,1.53859846,1.22938438
68,13.5,Definitive_erythroid_lineage,1.28382414,2.36844243,2.07067176
68,13.5,Myocytes,0.11335321,1.45739468,1.16001887
68,13.5,Premature_oligodendrocyte,1.56882632,1.64161597,1.87390989
68,13.5,Connective_tissue_progenitors,1.22852556,1.67183600,1.17641093
68,13.5,Connective_tissue_progenitors,1.25306319,1.64576262,1.14411546
68,13.5,Excitatory_neurons,0.19545727,1.28397995,1.16962691
68,13.5,Connective_tissue_progenitors,1.20172257,1.68202666,1.22259303
68,13.5,Osteoblasts,1.47681750,1.23413988,1.02885250
68,13.5,Granule_neurons,0.68325076,1.73170225,1.46395700
68,13.5,Inhibitory_interneurons,0.82641351,1.30123165,1.66885049
68,13.5,Isthmic_organizer_cells,1.51227974,1.79020810,1.27553435
68,13.5,Granule_neurons,0.74247291,1.69973790,1.45274873
68,13.5,Jaw_and_tooth_progenitors,1.02344290,1.13859865,0.89896684
68,13.5,Ependymal_cell,1.56990067,2.01824992,0.76783908
68,13.5,Cardiac_muscle_lineages,1.45652292,1.35844976,2.17547414
68,13.5,Definitive_erythroid_lineage,1.32345558,2.36218255,1.76429186
68,13.5,Myocytes,0.38547996,0.29162761,1.11801751
68,13.5,Definitive_erythroid_lineage,1.40448861,2.33895301,2.17164961
68,13.5,Inhibitory_neurons,0.34916544,1.24624617,1.38790294
68,13.5,Hepatocytes,2.20352929,3.06306648,1.92476926
68,13.5,Connective_tissue_progenitors,1.12259684,1.57265649,1.19135052
68,13.5,Connective_tissue_progenitors,1.03311984,1.50567538,1.11582560
68,13.5,Excitatory_neurons,0.26236310,1.07908053,1.22938446
68,13.5,Epithelial_cells,0.96629233,1.07048412,1.38680879
68,13.5,Granule_neurons,0.54097957,1.77256366,1.46916082
68,13.5,Epithelial_cells,1.04134985,1.21820832,0.65769706
68,13.5,Connective_tissue_progenitors,1.20602489,1.65381748,1.13454847
68,13.5,Inhibitory_neuron_progenitors,0.52879696,0.88230903,1.48199728
68,13.5,Premature_oligodendrocyte,1.51056969,1.60730139,1.86084460
68,13.5,Excitatory_neurons,0.11061305,1.03160294,0.83497488
68,13.5,Inhibitory_neurons,0.15322839,1.07098624,1.32708144
68,13.5,Premature_oligodendrocyte,1.49504919,1.46718302,1.86040779
68,13.5,Excitatory_neurons,0.17754153,1.23244593,1.19435327
68,13.5,Hepatocytes,2.10785520,2.51597126,2.44464792
68,13.5,Endothelial_cells,0.72050974,0.73708739,1.42045776
68,13.5,Ependymal_cell,1.52661783,1.87067208,0.69968051
68,13.5,Connective_tissue_progenitors,1.23495978,1.49144439,1.57023747
68,13.5,Granule_neurons,0.96271943,1.62538922,1.51228259
68,13.5,Epithelial_cells,1.05078530,1.24779725,0.65325538
68,13.5,Chondroctye_progenitors,1.14505451,0.72099418,0.80132543
68,13.5,Jaw_and_tooth_progenitors,1.06840676,1.37550039,1.54354005
68,13.5,Chondroctye_progenitors,1.16084123,0.75927879,0.57454720
68,13.5,Premature_oligodendrocyte,1.53608902,1.55415096,1.87998751
68,13.5,Myocytes,0.46665201,0.26036637,1.19497633
68,13.5,Notochord_cells,1.34339922,1.23304767,0.71477172
68,13.5,Excitatory_neurons,0.57540273,1.57976838,1.26025114
68,13.5,Excitatory_neurons,0.30650410,1.34390410,1.01572264
68,13.5,Endothelial_cells,1.12805353,1.26962445,1.11878807
68,13.5,Definitive_erythroid_lineage,1.45642294,2.34353687,1.91912714
68,13.5,White_blood_cells,1.20616751,0.98921504,1.88985462
68,13.5,Connective_tissue_progenitors,1.23413835,0.94206636,0.73393750
68,13.5,Myocytes,0.32827623,0.33498673,1.06075214
68,13.5,Connective_tissue_progenitors,1.21599054,1.62133404,1.20843173
68,13.5,Connective_tissue_progenitors,1.31002965,1.59992542,1.26120107
68,13.5,Excitatory_neurons,0.32799165,1.27039587,1.22408414
68,13.5,Intermediate_Mesoderm,0.94871395,1.19419638,1.70557805
68,13.5,Inhibitory_neurons,0.21058176,1.21072056,1.29831758
68,13.5,Chondroctye_progenitors,1.14493075,0.73293552,0.64558755
68,13.5,Excitatory_neurons,0.55172233,1.60925461,0.12794069
