Embryo,Stage,mtX,mtY,mtZ
4,10.5,Isthmic_organizer_cells,1.81335907,1.34763093,1.00156193
4,10.5,Stromal_cells,NA,NA,NA
4,10.5,Definitive_erythroid_lineage,NA,NA,NA
4,10.5,Postmitotic_premature_neurons,NA,NA,NA
4,10.5,Stromal_cells,NA,NA,NA
4,10.5,Isthmic_organizer_cells,NA,NA,NA
4,10.5,Myocytes,0.52496700,0.32335248,1.18428652
4,10.5,Oligodendrocyte_Progenitors,1.54823432,1.44933305,1.71417465
4,10.5,Jaw_and_tooth_progenitors,1.30853877,1.04910025,1.16742266
4,10.5,NA,NA,NA,NA
4,10.5,Chondroctye_progenitors,1.06252208,0.86923062,0.85413906
4,10.5,Neural_Tube,1.39210702,0.62200003,0.73251748
4,10.5,Chondrocytes_&_osteoblasts,1.18536244,1.31127065,1.08432951
4,10.5,Oligodendrocyte_Progenitors,NA,NA,NA
4,10.5,Definitive_erythroid_lineage,NA,NA,NA
4,10.5,Jaw_and_tooth_progenitors,1.27140860,0.96122730,1.17234575
4,10.5,Primitive_erythroid_lineage,NA,NA,NA
4,10.5,Jaw_and_tooth_progenitors,1.36295888,0.95126836,1.22705552
4,10.5,Epithelial_cells,1.05792048,1.47150563,1.17119165
4,10.5,Primitive_erythroid_lineage,NA,NA,NA
4,10.5,Intermediate_Mesoderm,1.17021201,1.40224075,1.49368211
4,10.5,Oligodendrocyte_Progenitors,1.57558745,1.32761101,1.37551995
4,10.5,Cardiac_muscle_lineages,NA,NA,NA
4,10.5,Chondrocytes_&_osteoblasts,1.08248490,1.27665048,1.12318870
4,10.5,Neural_progenitor_cells,NA,NA,NA
4,10.5,Ependymal_cell,1.75511241,1.74694903,1.36126859
4,10.5,Sensory_neurons,1.49086088,1.33316490,0.96520303
4,10.5,Primitive_erythroid_lineage,NA,NA,NA
4,10.5,Epithelial_cells,1.00526709,1.06633368,0.86122624
4,10.5,Early_mesenchyme,0.97140450,1.23308794,1.20974142
4,10.5,Postmitotic_premature_neurons,NA,NA,NA
4,10.5,Endothelial_cells,0.97400400,1.40767837,0.61770147
4,10.5,Neural_Tube,1.69477974,0.87915653,0.76195317
4,10.5,Oligodendrocyte_Progenitors,1.55596453,1.63164831,1.69809119
4,10.5,Stromal_cells,NA,NA,NA
4,10.5,Oligodendrocyte_Progenitors,NA,NA,NA
4,10.5,Chondrocytes_&_osteoblasts,1.06610404,1.24537654,1.23897316
4,10.5,Endothelial_cells,NA,NA,NA
4,10.5,Early_mesenchyme,1.50762914,1.04987582,1.22501483
4,10.5,Schwann_cell_precursor,2.48249078,2.04242229,2.23812004
4,10.5,Jaw_and_tooth_progenitors,0.58403338,0.38399345,1.16753359
4,10.5,Neural_Tube,1.61431750,0.59701333,0.66548138
4,10.5,Neural_progenitor_cells,NA,NA,NA
4,10.5,Intermediate_Mesoderm,1.09821770,1.46429156,1.77587745
4,10.5,Jaw_and_tooth_progenitors,1.00783683,0.81715725,1.08546625
4,10.5,Stromal_cells,1.27711060,0.91930608,1.26228753
4,10.5,Radial_glia,1.68508599,0.50586905,0.68085453
4,10.5,Definitive_erythroid_lineage,NA,NA,NA
4,10.5,Early_mesenchyme,0.98976040,0.78193893,1.16093822
4,10.5,Inhibitory_neuron_progenitors,0.33937428,0.74192895,1.28255955
4,10.5,Isthmic_organizer_cells,1.84377963,0.91444085,0.64474712
4,10.5,Schwann_cell_precursor,2.57337447,1.91145792,2.92682660
4,10.5,Primitive_erythroid_lineage,2.40210698,1.42300434,1.77939337
4,10.5,Sensory_neurons,1.17161034,0.71990952,0.25508450
4,10.5,Isthmic_organizer_cells,1.74046273,1.02065908,0.78697904
4,10.5,Endothelial_cells,0.16391483,1.31645987,1.07937731
4,10.5,Isthmic_organizer_cells,1.65756328,1.52651130,1.50880968
4,10.5,Early_mesenchyme,NA,NA,NA
4,10.5,Early_mesenchyme,0.96512400,1.27273935,1.23989953
4,10.5,Osteoblasts,NA,NA,NA
4,10.5,Inhibitory_neuron_progenitors,0.49792277,0.63678436,1.03897776
4,10.5,Jaw_and_tooth_progenitors,1.11771098,0.97201017,1.10899610
4,10.5,Epithelial_cells,NA,NA,NA
4,10.5,Intermediate_Mesoderm,1.16630572,1.19024139,1.64980906
4,10.5,Notochord_cells,1.43258340,1.33584245,0.96585067
4,10.5,Neural_progenitor_cells,1.04613743,0.86271258,0.70770203
4,10.5,Jaw_and_tooth_progenitors,1.40302163,0.98106370,0.95387371
4,10.5,NA,NA,NA,NA
4,10.5,Premature_oligodendrocyte,1.54496085,1.63363449,1.72047514
4,10.5,Early_mesenchyme,1.32570988,0.98915021,1.21023257
4,10.5,Chondroctye_progenitors,1.11668225,0.83329867,0.81908417
4,10.5,Neural_progenitor_cells,1.39562898,1.36748009,1.51057410
4,10.5,Neural_progenitor_cells,0.98924249,1.04262870,0.90964752
4,10.5,Isthmic_organizer_cells,1.55840803,1.40831390,1.36506597
4,10.5,Isthmic_organizer_cells,1.65943269,1.13719730,0.91184944
4,10.5,Limb_mesenchyme,0.76092097,1.24081179,1.23856429
4,10.5,Inhibitory_neuron_progenitors,NA,NA,NA
4,10.5,Neural_Tube,1.65830802,1.08204922,1.03377929
4,10.5,Neural_progenitor_cells,1.03154855,0.87652712,0.71700961
4,10.5,Neural_progenitor_cells,1.10028306,0.56692938,0.77135629
4,10.5,Oligodendrocyte_Progenitors,NA,NA,NA
4,10.5,Primitive_erythroid_lineage,2.39478320,1.63671785,1.87092635
4,10.5,Inhibitory_neuron_progenitors,0.53453561,0.67652345,0.97012352
4,10.5,Neural_Tube,1.56338612,0.69018768,0.70992124
4,10.5,Radial_glia,1.84704507,0.75540525,0.63260679
4,10.5,Early_mesenchyme,0.83016915,1.24875668,1.23916519
