Embryo,Stage,mtX,mtY,mtZ
3,9.5,Early_mesenchyme,1.07064195,1.15407476,1.62649751
3,9.5,Primitive_erythroid_lineage,2.63773609,1.50575342,1.62966553
3,9.5,Oligodendrocyte_Progenitors,1.56975146,1.57376868,1.59108554
3,9.5,Epithelial_cells,1.11264016,1.25414447,0.98669370
3,9.5,Early_mesenchyme,0.99219029,0.75895597,1.14427277
3,9.5,Intermediate_Mesoderm,1.10535725,1.20414880,1.71739099
3,9.5,Early_mesenchyme,1.32920862,0.89650632,1.25606068
3,9.5,Neural_Tube,1.54061792,0.91264941,0.64205740
3,9.5,Neural_Tube,1.53420323,0.89389862,0.40406564
3,9.5,Primitive_erythroid_lineage,2.66174478,1.53746211,1.47988517
3,9.5,Stromal_cells,1.25900922,0.88935645,1.25901045
3,9.5,Epithelial_cells,1.99404485,1.17035757,1.13332935
3,9.5,Early_mesenchyme,1.32786490,0.90701439,1.22559669
3,9.5,Epithelial_cells,0.87227207,1.23271959,1.78181224
3,9.5,Early_mesenchyme,0.78176449,0.58649042,1.27131426
3,9.5,Early_mesenchyme,0.86247856,0.63595476,1.26163666
3,9.5,Early_mesenchyme,0.72875353,0.59315957,1.26795725
3,9.5,Notochord_cells,1.51046425,1.22621532,0.92689183
3,9.5,Cardiac_muscle_lineages,1.34243775,1.32526103,1.95664187
3,9.5,Stromal_cells,0.93277608,0.84129374,1.50913374
3,9.5,Primitive_erythroid_lineage,2.64655467,1.51437233,1.61800726
3,9.5,Early_mesenchyme,1.30813594,0.84123590,1.19259725
3,9.5,Cardiac_muscle_lineages,1.34889460,1.32965958,1.96296220
3,9.5,Stromal_cells,0.90752996,0.83184173,1.54700724
3,9.5,Isthmic_organizer_cells,1.76558412,1.26259694,1.00200732
3,9.5,Radial_glia,1.78639367,0.75769821,0.53313337
3,9.5,Neural_Tube,1.44996815,0.89873162,0.62004377
3,9.5,Early_mesenchyme,1.04938946,0.84934129,1.19675131
3,9.5,Early_mesenchyme,0.98492382,0.78267186,1.16051632
3,9.5,Radial_glia,1.84027716,0.76186675,0.55493829
3,9.5,Neural_Tube,1.49884807,0.89028476,0.61171758
3,9.5,Isthmic_organizer_cells,1.85556716,1.24916040,0.81889419
3,9.5,Intermediate_Mesoderm,1.09523577,1.31058698,1.76266421
3,9.5,Neural_Tube,1.54577154,0.85637951,0.51496508
3,9.5,Neural_Tube,1.53543074,0.89417507,0.40491821
3,9.5,Epithelial_cells,1.15961831,0.94795051,1.19064978
3,9.5,Radial_glia,1.67743764,0.71019387,0.51407824
3,9.5,Stromal_cells,0.97484278,0.86252736,1.45689120
3,9.5,Neural_Tube,1.54332499,0.91771615,0.63286387
3,9.5,Stromal_cells,1.11447961,0.94154798,1.34110621
3,9.5,Stromal_cells,1.33170424,0.94276715,1.26522935
3,9.5,Oligodendrocyte_Progenitors,1.56613535,1.65548913,1.72392310
3,9.5,Early_mesenchyme,0.75188379,1.21120901,1.27391713
3,9.5,Neural_progenitor_cells,1.03435382,0.86840703,0.71477299
3,9.5,Endothelial_cells,0.05424478,1.37855856,1.17053799
3,9.5,Stromal_cells,1.00815585,0.80345432,1.15770551
3,9.5,Stromal_cells,1.06456516,1.05434372,1.50585234
3,9.5,Jaw_and_tooth_progenitors,1.22275590,0.81825277,1.00538628
3,9.5,Epithelial_cells,1.14449927,0.11389395,1.23921232
3,9.5,Stromal_cells,0.91838785,0.83553723,1.52835001
3,9.5,Early_mesenchyme,1.00987082,1.11099723,1.55991823
3,9.5,Neural_Tube,1.52976708,0.88106420,0.51486265
3,9.5,Early_mesenchyme,1.09420474,1.14364333,1.57336766
3,9.5,Neural_Tube,1.69005594,0.83172195,0.67988686
3,9.5,Oligodendrocyte_Progenitors,1.57923271,1.58147383,1.35436311
3,9.5,Stromal_cells,1.03695912,0.88169397,1.36283261
3,9.5,Neural_Tube,1.73985352,0.74038268,0.57594011
3,9.5,Oligodendrocyte_Progenitors,1.56123260,1.57474085,1.55988182
3,9.5,Chondroctye_progenitors,1.23461491,0.82969407,1.01494805
3,9.5,Chondroctye_progenitors,1.23509554,0.81159272,0.98596873
3,9.5,Neural_Tube,1.50831495,0.94256481,0.64429911
3,9.5,Early_mesenchyme,0.85105888,1.15825513,1.36721441
3,9.5,Early_mesenchyme,0.80888182,0.62265793,1.26658679
3,9.5,Endothelial_cells,1.37111848,1.41943186,1.19815352
3,9.5,Early_mesenchyme,0.80234953,1.18509823,1.32234127
3,9.5,Epithelial_cells,1.11873526,1.33544107,1.04607100
3,9.5,Early_mesenchyme,1.00555532,0.77521169,1.14761984
3,9.5,Stromal_cells,1.03855859,0.83662650,1.18149641
3,9.5,Oligodendrocyte_Progenitors,1.56673987,1.41390098,1.36261269
3,9.5,Neural_Tube,1.53467911,0.89453690,0.40039537
3,9.5,Early_mesenchyme,0.71769819,0.59899491,1.21028144
3,9.5,Notochord_cells,1.53182143,1.26285365,1.01073088
3,9.5,Early_mesenchyme,1.42121399,0.81692058,1.11132805
3,9.5,Intermediate_Mesoderm,1.33794379,0.97435643,1.32014713
3,9.5,Isthmic_organizer_cells,1.79194397,1.14265664,0.73380378
3,9.5,Stromal_cells,1.18285728,0.88656068,1.27020966
