embryoId,stage,cellType,mtX,mtY,mtZ
3,9.5,Cardiac_muscle_lineages,1.36629246,1.33256622,1.99908880
3,9.5,Cardiac_muscle_lineages,1.36973951,1.33186272,1.99844527
3,9.5,Cardiac_muscle_lineages,1.38663529,1.33682653,2.03432418
3,9.5,Cardiac_muscle_lineages,1.38751002,1.33735778,2.03442232
3,9.5,Cardiac_muscle_lineages,1.39241652,1.33962831,2.05177733
3,9.5,Cardiac_muscle_lineages,1.39327638,1.33918738,2.05165799
3,9.5,Cardiac_muscle_lineages,1.39707333,1.34036004,2.05963107
3,9.5,Cardiac_muscle_lineages,1.39921866,1.34092983,2.05918388
3,9.5,Cardiac_muscle_lineages,1.40485213,1.34310743,2.07159789
3,9.5,Cardiac_muscle_lineages,1.40564252,1.34301371,2.07614750
3,9.5,Cardiac_muscle_lineages,1.40756544,1.34287487,2.08102895
3,9.5,Cardiac_muscle_lineages,1.40778041,1.34238426,2.08184078
3,9.5,Cardiac_muscle_lineages,1.40864094,1.34410391,2.08098748
3,9.5,Cardiac_muscle_lineages,1.40898622,1.34418308,2.08170117
3,9.5,Cardiac_muscle_lineages,1.41206744,1.34537892,2.08845426
3,9.5,Cardiac_muscle_lineages,1.41259637,1.34514610,2.08972227
3,9.5,Cardiac_muscle_lineages,1.41479245,1.34573030,2.09831363
3,9.5,Cardiac_muscle_lineages,1.41491600,1.34479333,2.09658588
3,9.5,Cardiac_muscle_lineages,1.41535437,1.34618773,2.09595789
3,9.5,Cardiac_muscle_lineages,1.41821627,1.34673397,2.10284192
3,9.5,Cardiac_muscle_lineages,1.42251450,1.34764647,2.11712257
3,9.5,Cardiac_muscle_lineages,1.42661684,1.35032923,2.12095476
3,9.5,Cardiac_muscle_lineages,1.42789285,1.35089357,2.12171059
3,9.5,Cardiac_muscle_lineages,1.42864382,1.35131817,2.12463997
3,9.5,Cardiac_muscle_lineages,1.42869581,1.35113306,2.12616617
3,9.5,Cardiac_muscle_lineages,1.42958100,1.35161193,2.12684183
3,9.5,Cardiac_muscle_lineages,1.43152796,1.35108676,2.13639757
3,9.5,Cardiac_muscle_lineages,1.43185974,1.35243280,2.13146405
3,9.5,Cardiac_muscle_lineages,1.43301727,1.35228555,2.13743361
3,9.5,Cardiac_muscle_lineages,1.43316676,1.35390568,2.13541215
3,9.5,Cardiac_muscle_lineages,1.43565825,1.35431731,2.13979190
3,9.5,Cardiac_muscle_lineages,1.43657389,1.35483761,2.14161996
3,9.5,Cardiac_muscle_lineages,1.43815892,1.35047417,2.14765469
3,9.5,Cardiac_muscle_lineages,1.43834982,1.35501805,2.14497532
3,9.5,Cardiac_muscle_lineages,1.44098722,1.35251114,2.14764214
3,9.5,Cardiac_muscle_lineages,1.44116563,1.35469106,2.14944544
3,9.5,Cardiac_muscle_lineages,1.44187249,1.35331290,2.14917133
3,9.5,Cardiac_muscle_lineages,1.44227497,1.35578490,2.15066844
3,9.5,Cardiac_muscle_lineages,1.44228987,1.35718721,2.15252004
3,9.5,Cardiac_muscle_lineages,1.44580638,1.35687843,2.15759277
3,9.5,Cardiac_muscle_lineages,1.44671167,1.35546757,2.15925941
3,9.5,Cardiac_muscle_lineages,1.44884095,1.35731900,2.16182731
3,9.5,Cardiac_muscle_lineages,1.44916241,1.35529053,2.16245368
3,9.5,Cardiac_muscle_lineages,1.45051597,1.35435753,2.16555903
3,9.5,Cardiac_muscle_lineages,1.45283346,1.35850328,2.16932228
3,9.5,Cardiac_muscle_lineages,1.45312831,1.35654734,2.16944452
3,9.5,Cardiac_muscle_lineages,1.45347885,1.35824585,2.17009043
3,9.5,Cardiac_muscle_lineages,1.45377214,1.35626830,2.16963736
3,9.5,Cardiac_muscle_lineages,1.45404805,1.35556471,2.17199743
3,9.5,Cardiac_muscle_lineages,1.45473582,1.35575626,2.17156689
3,9.5,Cardiac_muscle_lineages,1.45503655,1.35705459,2.17252111
3,9.5,Cardiac_muscle_lineages,1.45624906,1.35707619,2.17313971
3,9.5,Cardiac_muscle_lineages,1.45637784,1.35134235,2.17680771
3,9.5,Cardiac_muscle_lineages,1.45660135,1.35829149,2.17462206
3,9.5,Cardiac_muscle_lineages,1.45686994,1.35738401,2.17489783
3,9.5,Cardiac_muscle_lineages,1.45701485,1.35131959,2.17934652
3,9.5,Cardiac_muscle_lineages,1.45772627,1.35273873,2.17842372
3,9.5,Cholinergic_neurons,0.46713388,1.28080788,0.85803455
3,9.5,Cholinergic_neurons,0.51080387,1.14301304,0.13057867
3,9.5,Cholinergic_neurons,0.58542136,1.05517672,0.04751067
3,9.5,Cholinergic_neurons,0.60060100,1.07594328,0.14735564
3,9.5,Cholinergic_neurons,0.61680996,1.06692223,0.16262205
3,9.5,Cholinergic_neurons,0.61754901,1.06693710,0.16416509
3,9.5,Cholinergic_neurons,0.62016085,1.03156927,0.06067237
3,9.5,Cholinergic_neurons,0.62099160,1.06497979,0.16839770
3,9.5,Cholinergic_neurons,0.62231388,1.02937047,0.05945526
3,9.5,Cholinergic_neurons,0.62437037,1.06374140,0.17098576
3,9.5,Cholinergic_neurons,0.63261529,1.02125778,0.06240110
3,9.5,Cholinergic_neurons,0.63430370,1.05646588,0.17875051
3,9.5,Cholinergic_neurons,0.64547531,1.04636031,0.18529555
3,9.5,Cholinergic_neurons,0.64625649,1.04943290,0.19235083
3,9.5,Cholinergic_neurons,0.64845688,1.04742803,0.19294129
3,9.5,Cholinergic_neurons,0.64980489,1.04691550,0.19552103
3,9.5,Cholinergic_neurons,0.66215280,1.00189579,0.07841609
3,9.5,Cholinergic_neurons,0.66264027,1.03938351,0.21166049
3,9.5,Cholinergic_neurons,0.66354281,1.00030595,0.07923867
3,9.5,Cholinergic_neurons,0.66497190,0.99890675,0.07944484
3,9.5,Cholinergic_neurons,0.66680654,1.00669419,0.08386128
3,9.5,Cholinergic_neurons,0.67417571,1.03118736,0.22083928
3,9.5,Cholinergic_neurons,0.67429550,0.99493048,0.08960632
3,9.5,Cholinergic_neurons,0.67709206,1.02917061,0.22100659
3,9.5,Cholinergic_neurons,0.67884171,0.99284123,0.09333564
3,9.5,Cholinergic_neurons,0.68788914,0.98546895,0.10063248
3,9.5,Cholinergic_neurons,0.69037774,0.98227821,0.10247457
3,9.5,Cholinergic_neurons,0.69987601,0.97836075,0.11115918
3,9.5,Cholinergic_neurons,0.70027184,1.01374303,0.24468122
3,9.5,Cholinergic_neurons,0.70238988,0.97655452,0.11394473
3,9.5,Cholinergic_neurons,0.70710813,0.97574562,0.12410168
3,9.5,Cholinergic_neurons,0.71129722,0.97284674,0.12801302
3,9.5,Cholinergic_neurons,0.71224505,0.97208854,0.12645700
3,9.5,Cholinergic_neurons,0.71296771,0.97243877,0.12887496
3,9.5,Cholinergic_neurons,0.71962359,1.00158490,0.26362199
3,9.5,Cholinergic_neurons,0.73242361,0.99229567,0.27387771
3,9.5,Cholinergic_neurons,0.73324054,0.99166064,0.27408134
3,9.5,Cholinergic_neurons,0.73330992,0.99188017,0.27578753
3,9.5,Cholinergic_neurons,0.73362160,0.99133645,0.27443924
3,9.5,Cholinergic_neurons,0.73460147,0.96133232,0.15501746
3,9.5,Cholinergic_neurons,0.73466091,0.99078233,0.27511699
3,9.5,Cholinergic_neurons,0.75680690,0.97536830,0.28958433
3,9.5,Cholinergic_neurons,0.79645595,0.93875097,0.26729053
3,9.5,Cholinergic_neurons,0.81169050,1.11242566,0.87875686
3,9.5,Chondroctye_progenitors,1.02822554,0.81052473,1.01407854
3,9.5,Chondroctye_progenitors,1.04362312,0.78223200,1.02254798
3,9.5,Chondroctye_progenitors,1.05423162,0.79816737,1.00227093
3,9.5,Chondroctye_progenitors,1.05509640,0.84159066,0.90340123
3,9.5,Chondroctye_progenitors,1.05745283,0.79076332,0.93222553
3,9.5,Chondroctye_progenitors,1.05909876,0.79763092,1.06881214
3,9.5,Chondroctye_progenitors,1.05919833,0.78169166,0.97089168
3,9.5,Chondroctye_progenitors,1.06015577,0.78142150,1.02261981
3,9.5,Chondroctye_progenitors,1.06106892,0.78711167,0.92389598
3,9.5,Chondroctye_progenitors,1.06115191,0.77620158,0.96373475
3,9.5,Chondroctye_progenitors,1.06177296,0.79242488,0.96108238
3,9.5,Chondroctye_progenitors,1.06452618,0.79604342,1.07067909
3,9.5,Chondroctye_progenitors,1.06651087,0.78443192,0.91434824
3,9.5,Chondroctye_progenitors,1.06783461,0.78912200,0.92562723
3,9.5,Chondroctye_progenitors,1.06806051,0.79001968,0.92209080
3,9.5,Chondroctye_progenitors,1.06946018,0.79114565,0.95596426
3,9.5,Chondroctye_progenitors,1.06946815,0.79510943,0.93619939
3,9.5,Chondroctye_progenitors,1.06973304,0.77938539,0.91460243
3,9.5,Chondroctye_progenitors,1.06976836,0.77101837,0.98129449
3,9.5,Chondroctye_progenitors,1.07134340,0.78722330,0.91762195
3,9.5,Chondroctye_progenitors,1.07260061,0.79272277,1.04446345
3,9.5,Chondroctye_progenitors,1.07668265,0.78550174,0.91107018
3,9.5,Chondroctye_progenitors,1.08230090,0.78603694,1.00840112
3,9.5,Chondroctye_progenitors,1.08587377,0.80193917,0.95618984
3,9.5,Chondroctye_progenitors,1.08782325,0.87867247,0.84202986
3,9.5,Chondroctye_progenitors,1.09256456,0.79668989,0.94339536
3,9.5,Chondroctye_progenitors,1.09945379,0.77800751,0.94758759
3,9.5,Chondroctye_progenitors,1.09988286,0.78265971,0.94690207
3,9.5,Chondroctye_progenitors,1.11047770,0.80088684,1.00912278
3,9.5,Chondroctye_progenitors,1.11916914,0.79200936,0.88630062
3,9.5,Chondroctye_progenitors,1.12181642,0.77335663,0.92145729
3,9.5,Chondroctye_progenitors,1.12798621,0.73337097,0.86794401
3,9.5,Chondroctye_progenitors,1.13592230,0.78112604,0.95326489
3,9.5,Chondroctye_progenitors,1.14822736,0.77724877,0.94170313
3,9.5,Chondroctye_progenitors,1.14945829,0.71907783,0.82811344
3,9.5,Chondroctye_progenitors,1.15163954,0.75381898,0.86787265
3,9.5,Chondroctye_progenitors,1.15670900,0.75047819,0.86186551
3,9.5,Chondroctye_progenitors,1.16295581,0.81587771,0.87155244
3,9.5,Chondroctye_progenitors,1.16579179,0.74903570,0.84025248
3,9.5,Chondroctye_progenitors,1.16988189,0.74631490,0.83852806
3,9.5,Chondroctye_progenitors,1.17165072,0.80387259,0.88555534
3,9.5,Chondroctye_progenitors,1.18009728,0.75915286,0.85054764
3,9.5,Chondroctye_progenitors,1.18181776,0.74813774,0.83042974
